week_start,week_end,price,symbol,box_type
2022-08-08,2022-08-14,147.03,DMU,Set
2022-08-15,2022-08-21,138.46,DMU,Set
2022-08-22,2022-08-28,122.47,DMU,Set
2022-08-29,2022-09-04,123.41,DMU,Set
2022-09-05,2022-09-11,119.32,DMU,Set
2022-09-12,2022-09-18,115.06,DMU,Set
2022-09-19,2022-09-25,103.28,DMU,Set
2022-09-26,2022-10-02,114.94,DMU,Set
2022-10-03,2022-10-09,114.14,DMU,Set
2022-10-10,2022-10-16,111.46,DMU,Set
2022-10-17,2022-10-23,106.78,DMU,Set
2022-10-24,2022-10-30,108.18,DMU,Set
2022-10-31,2022-11-06,107.55,DMU,Set
2022-11-07,2022-11-13,102.50,DMU,Set
2022-11-14,2022-11-20,102.48,DMU,Set
2022-11-21,2022-11-27,103.69,DMU,Set
2022-11-28,2022-12-04,104.53,DMU,Set
2022-12-05,2022-12-11,101.76,DMU,Set
2022-12-12,2022-12-18,103.44,DMU,Set
2022-12-19,2022-12-25,101.38,DMU,Set
2022-12-26,2023-01-01,100.73,DMU,Set
2023-01-02,2023-01-08,103.22,DMU,Set
2023-01-09,2023-01-15,103.06,DMU,Set
2023-01-16,2023-01-22,102.59,DMU,Set
2023-01-23,2023-01-29,102.74,DMU,Set
2022-06-06,2022-06-12,130.00,DMU,Draft
2022-06-13,2022-06-19,130.00,DMU,Draft
2022-06-20,2022-06-26,129.99,DMU,Draft
2022-06-27,2022-07-03,129.96,DMU,Draft
2022-07-04,2022-07-10,117.41,DMU,Draft
2022-07-11,2022-07-17,109.39,DMU,Draft
2022-07-18,2022-07-24,108.90,DMU,Draft
2022-07-25,2022-07-31,108.20,DMU,Draft
2022-08-01,2022-08-07,106.94,DMU,Draft
2022-08-08,2022-08-14,108.53,DMU,Draft
2022-08-15,2022-08-21,113.15,DMU,Draft
2022-08-22,2022-08-28,109.89,DMU,Draft
2022-08-29,2022-09-04,107.19,DMU,Draft
2022-09-05,2022-09-11,100.49,DMU,Draft
2022-09-12,2022-09-18,98.29,DMU,Draft
2022-09-19,2022-09-25,105.93,DMU,Draft
2022-09-26,2022-10-02,102.31,DMU,Draft
2022-10-03,2022-10-09,101.04,DMU,Draft
2022-10-10,2022-10-16,98.44,DMU,Draft
2022-10-17,2022-10-23,97.14,DMU,Draft
2022-10-24,2022-10-30,91.61,DMU,Draft
2022-10-31,2022-11-06,90.03,DMU,Draft
2022-11-07,2022-11-13,87.96,DMU,Draft
2022-11-14,2022-11-20,90.90,DMU,Draft
2022-11-21,2022-11-27,93.79,DMU,Draft
2022-11-28,2022-12-04,94.74,DMU,Draft
2022-12-05,2022-12-11,92.61,DMU,Draft
2022-12-12,2022-12-18,91.76,DMU,Draft
2022-12-19,2022-12-25,91.41,DMU,Draft
2022-12-26,2023-01-01,90.52,DMU,Draft
2023-01-02,2023-01-08,91.09,DMU,Draft
2023-01-09,2023-01-15,91.60,DMU,Draft
2023-01-16,2023-01-22,89.35,DMU,Draft
2023-01-23,2023-01-29,90.15,DMU,Draft
2022-09-12,2022-09-18,239.85,BRO,Collector
2022-09-19,2022-09-25,234.93,BRO,Collector
2022-09-26,2022-10-02,230.32,BRO,Collector
2022-10-03,2022-10-09,219.79,BRO,Collector
2022-10-10,2022-10-16,212.22,BRO,Collector
2022-10-17,2022-10-23,210.97,BRO,Collector
2022-10-24,2022-10-30,209.76,BRO,Collector
2022-10-31,2022-11-06,212.66,BRO,Collector
2022-11-07,2022-11-13,212.66,BRO,Collector
2022-11-14,2022-11-20,227.36,BRO,Collector
2022-11-21,2022-11-27,219.00,BRO,Collector
2022-11-28,2022-12-04,223.08,BRO,Collector
2022-12-05,2022-12-11,222.94,BRO,Collector
2022-12-12,2022-12-18,215.92,BRO,Collector
2022-12-19,2022-12-25,217.15,BRO,Collector
2022-12-26,2023-01-01,216.53,BRO,Collector
2023-01-02,2023-01-08,213.11,BRO,Collector
2023-01-09,2023-01-15,214.75,BRO,Collector
2023-01-16,2023-01-22,213.84,BRO,Collector
2023-01-23,2023-01-29,212.43,BRO,Collector
2023-01-30,2023-02-05,212.43,BRO,Collector
2023-02-06,2023-02-12,203.20,BRO,Collector
2022-08-29,2022-09-04,118.14,BRO,Set
2022-09-05,2022-09-11,118.29,BRO,Set
2022-09-12,2022-09-18,117.97,BRO,Set
2022-09-19,2022-09-25,117.05,BRO,Set
2022-09-26,2022-10-02,113.07,BRO,Set
2022-10-03,2022-10-09,114.28,BRO,Set
2022-10-10,2022-10-16,113.61,BRO,Set
2022-10-17,2022-10-23,118.71,BRO,Set
2022-10-24,2022-10-30,119.98,BRO,Set
2022-10-31,2022-11-06,116.15,BRO,Set
2022-11-07,2022-11-13,115.69,BRO,Set
2022-11-14,2022-11-20,113.85,BRO,Set
2022-11-21,2022-11-27,112.93,BRO,Set
2022-11-28,2022-12-04,118.58,BRO,Set
2022-12-05,2022-12-11,114.07,BRO,Set
