date,volume,adjusted
2020-08-27,658300,74.2544631958008
2020-08-28,689100,74.4937591552734
2020-08-31,750400,72.6530456542969
2020-09-01,711100,75.377311706543
2020-09-02,646000,75.984733581543
2020-09-03,755800,73.6378173828125
2020-09-04,613400,72.7634887695312
2020-09-08,869900,71.8707427978516
2020-09-09,1463900,72.1284484863281
2020-09-10,1098500,72.3125076293945
2020-09-11,782200,72.3861465454102
2020-09-14,1099800,71.0332183837891
2020-09-15,1169500,71.2448959350586
2020-09-16,1105500,72.2572937011719
2020-09-17,1257000,74.0059661865234
2020-09-18,1765700,73.5457916259766
2020-09-21,1066900,70.0116195678711
2020-09-22,716800,69.4409942626953
2020-09-23,987500,70.7570953369141
2020-09-24,702500,70.0944519042969
2020-09-25,693700,70.8399353027344
2020-09-28,482400,72.0179977416992
2020-09-29,941600,74.7698669433594
2020-09-30,1427800,76.1320037841797
2020-10-01,765300,76.3436813354492
2020-10-02,812400,76.3620910644531
2020-10-05,808700,76.472526550293
2020-10-06,815900,76.4357147216797
2020-10-07,521300,78.1659927368164
2020-10-08,742000,80.9546661376953
2020-10-09,836100,82.0590972900391
2020-10-12,708600,80.7521896362305
2020-10-13,644200,79.9698867797852
2020-10-14,607000,79.0127182006836
2020-10-15,492100,79.8962478637695
2020-10-16,636100,80.6233520507812
2020-10-19,711900,79.6569671630859
2020-10-20,548200,79.7582092285156
2020-10-21,669400,80.0251083374023
2020-10-22,1165900,82.6665344238281
2020-10-23,1972000,84.6729202270508
2020-10-26,3951200,76.7578430175781
2020-10-27,2330000,78.3224487304688
2020-10-28,1717000,77.3468780517578
2020-10-29,1015900,77.1904220581055
2020-10-30,1198400,76.7543029785156
2020-11-02,839700,76.4573822021484
2020-11-03,755200,78.6007690429688
2020-11-04,839300,76.4388122558594
2020-11-05,818800,78.0347747802734
2020-11-06,588900,78.257453918457
2020-11-09,1742700,79.2410278320312
2020-11-10,947800,79.4729919433594
2020-11-11,981900,80.2895278930664
2020-11-12,700700,78.1461181640625
2020-11-13,1152500,81.3937149047852
2020-11-16,891800,84.335090637207
2020-11-17,641800,85.2629699707031
2020-11-18,1032200,85.4392700195312
2020-11-19,628300,85.1330795288086
2020-11-20,832900,86.3114700317383
2020-11-23,679300,85.9403305053711
2020-11-24,1144700,85.4578247070312
2020-11-25,587300,85.4949417114258
2020-11-27,227900,85.6619644165039
2020-11-30,1223400,86.3207473754883
2020-12-01,1914000,89.2528533935547
2020-12-02,1192100,87.1558532714844
2020-12-03,907300,85.9774322509766
2020-12-04,1477800,84.5021057128906
2020-12-07,1079300,83.1102828979492
2020-12-08,702000,83.2494659423828
2020-12-09,1366700,82.3587036132812
2020-12-10,783700,82.2844696044922
2020-12-11,889400,82.5813903808594
2020-12-14,682700,83.6113433837891
2020-12-15,1001300,85.5970153808594
2020-12-16,1485500,87.9259872436523
2020-12-17,934500,86.4877777099609
2020-12-18,1873700,87.0445098876953
2020-12-21,1095500,86.8496475219727
2020-12-22,583300,85.7176284790039
2020-12-23,671600,86.0609512329102
2020-12-24,201000,86.4321060180664
2020-12-28,476100,86.6083908081055
2020-12-29,459600,86.6455078125
2020-12-30,507400,87.2208099365234
2020-12-31,559200,86.7939605712891
2021-01-04,990000,85.3279266357422
2021-01-05,537700,86.4599304199219
